id,found_at,status,title,company,location,source,visa_sponsorship,dol_h1b_sponsor,dol_h1b_lca_count,dol_h1b_worker_positions,dol_h1b_role_lca_count,dol_h1b_employer,h1bgrader_url,url
greenhouse_stripe_7952048,2026-07-11 18:21:50 UTC,To Apply,"Machine Learning Engineer, Capital Underwriting",stripe,US,Greenhouse,,,,,,,,https://stripe.com/jobs/search?gh_jid=7952048
greenhouse_airbnb_8024267,2026-07-11 18:21:50 UTC,To Apply,"Machine Learning Engineer, Community Support Engineering",airbnb,"San Francisco, CA",Greenhouse,,,,,,,,https://careers.airbnb.com/positions/8024267?gh_jid=8024267
greenhouse_airbnb_7955579,2026-07-11 18:21:50 UTC,To Apply,Principal Machine Learning Engineer- LLM Fine-tuning and Optimization ,airbnb,United States,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/7955579?gh_jid=7955579
greenhouse_airbnb_8014904,2026-07-11 18:21:50 UTC,To Apply,"Senior Machine Learning Engineer, Customer Support Engineering",airbnb,Remote-USA,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/8014904?gh_jid=8014904
greenhouse_airbnb_7258033,2026-07-11 18:21:50 UTC,To Apply,"Senior Machine Learning Engineer, Relevance and Personalization",airbnb,United States,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/7258033?gh_jid=7258033
greenhouse_airbnb_7998356,2026-07-11 18:21:50 UTC,To Apply,Senior Staff Data Engineer - Data Stewardship,airbnb,United States,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/7998356?gh_jid=7998356
greenhouse_airbnb_6757302,2026-07-11 18:21:50 UTC,To Apply,"Senior Staff Machine Learning Engineer, Data & Eval",airbnb,United States,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/6757302?gh_jid=6757302
greenhouse_airbnb_7747259,2026-07-11 18:21:50 UTC,To Apply,"Senior Staff Machine Learning Engineer, Growth Platform Engineering",airbnb,Remote - USA,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/7747259?gh_jid=7747259
greenhouse_airbnb_7005605,2026-07-11 18:21:50 UTC,To Apply,"Senior Staff Machine Learning Engineer, Guest & Host",airbnb,Remote - USA,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/7005605?gh_jid=7005605
greenhouse_airbnb_7858738,2026-07-11 18:21:50 UTC,To Apply,"Senior Staff Machine Learning Engineer, Post Training",airbnb,Remote - USA,Greenhouse,,,,,,,,https://careers.airbnb.com/positions/7858738?gh_jid=7858738
